期货代码,期货名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
jd2412,鸡蛋2412,5.99,4319.0,4319.0,4112.0,4118.0,244.0,-,1.47,-,4632,195948220.0,4098.0,-,-,114.jd2412,大商所,2024-11-29 21:00:00,2024-11-29
bbs,胶合板次主连,4.85,153.55,153.75,142.25,153.75,7.1,-,-,-,3,224775.0,146.45,-,-,114.bbs,大商所,2024-11-29 21:00:00,2024-11-29
bb2504,胶合板2504,4.85,153.55,153.75,142.25,153.75,7.1,-,-,-,3,224775.0,146.45,-,-,114.bb2504,大商所,2024-11-29 21:00:00,2024-11-29
br2412,丁二烯胶2412,3.6,13665.0,13665.0,13370.0,13405.0,475.0,-,0.03,-,22,1490250.0,13315.0,-,-,113.br2412,上期所,2024-11-29 23:00:00,2024-11-29
sim,工业硅主连,3.55,12405.0,12470.0,11890.0,11960.0,425.0,-,1.21,-,363408,22211325900.0,11915.0,-,-,225.sim,广期所,2024-11-29 15:00:28,2024-11-29
si2501,工业硅2501,3.55,12405.0,12470.0,11890.0,11960.0,425.0,-,1.21,-,363408,22211325900.0,11915.0,-,-,225.si2501,广期所,2024-11-29 15:00:28,2024-11-29
sis,工业硅次主连,3.5,12415.0,12470.0,11925.0,11980.0,420.0,-,1.18,-,84459,5170743300.0,11945.0,-,-,225.sis,广期所,2024-11-29 15:00:28,2024-11-29
si2502,工业硅2502,3.5,12415.0,12470.0,11925.0,11980.0,420.0,-,1.18,-,84459,5170743300.0,11945.0,-,-,225.si2502,广期所,2024-11-29 15:00:28,2024-11-29
bu2412,沥青2412,3.5,3638.0,3655.0,3568.0,3571.0,123.0,-,0.87,-,2201,79672350.0,3556.0,-,-,113.bu2412,上期所,2024-11-29 23:00:00,2024-11-29
bum,沥青主连,3.4,3591.0,3598.0,3509.0,3515.0,118.0,-,2.51,-,168106,5995046490.0,3512.0,-,-,113.bum,上期所,2024-11-29 23:00:00,2024-11-29
bu2501,沥青2501,3.4,3591.0,3598.0,3509.0,3515.0,118.0,-,2.51,-,168106,5995046490.0,3512.0,-,-,113.bu2501,上期所,2024-11-29 23:00:00,2024-11-29
si2503,工业硅2503,3.37,12430.0,12490.0,11950.0,11960.0,405.0,-,1.29,-,22622,1390531225.0,11965.0,-,-,225.si2503,广期所,2024-11-29 15:00:28,2024-11-29
si2412,工业硅2412,3.0,12355.0,12440.0,11870.0,11900.0,360.0,-,0.72,-,8642,525437300.0,11880.0,-,-,225.si2412,广期所,2024-11-29 15:00:28,2024-11-29
si2505,工业硅2505,2.97,12470.0,12510.0,12020.0,12060.0,360.0,-,1.27,-,26242,1614644500.0,12070.0,-,-,225.si2505,广期所,2024-11-29 15:00:28,2024-11-29
bus,沥青次主连,2.94,3606.0,3614.0,3534.0,3535.0,103.0,-,2.93,-,77030,2762546930.0,3532.0,-,-,113.bus,上期所,2024-11-29 23:00:00,2024-11-29
bu2502,沥青2502,2.94,3606.0,3614.0,3534.0,3535.0,103.0,-,2.93,-,77030,2762546930.0,3532.0,-,-,113.bu2502,上期所,2024-11-29 23:00:00,2024-11-29
brm,丁二烯胶主连,2.87,13635.0,13650.0,13320.0,13385.0,380.0,-,2.05,-,77123,5219760050.0,13345.0,-,-,113.brm,上期所,2024-11-29 23:00:00,2024-11-29
br2501,丁二烯胶2501,2.87,13635.0,13650.0,13320.0,13385.0,380.0,-,2.05,-,77123,5219760050.0,13345.0,-,-,113.br2501,上期所,2024-11-29 23:00:00,2024-11-29
sn2504,沪锡2504,2.69,243420.0,243500.0,240780.0,241370.0,6380.0,-,-,-,61,14739850.0,240330.0,-,-,113.sn2504,上期所,2024-11-30 01:00:00,2024-11-29
sns,沪锡次主连,2.64,243060.0,243300.0,238880.0,239030.0,6260.0,-,0.53,-,8176,1972371030.0,239750.0,-,-,113.sns,上期所,2024-11-30 01:00:00,2024-11-29
sn2502,沪锡2502,2.64,243060.0,243300.0,238880.0,239030.0,6260.0,-,0.9,-,8176,1972371030.0,239750.0,-,-,113.sn2502,上期所,2024-11-30 01:00:00,2024-11-29
brs,丁二烯胶次主连,2.64,13600.0,13605.0,13300.0,13310.0,350.0,-,2.08,-,36444,2461428150.0,13350.0,-,-,113.brs,上期所,2024-11-29 23:00:00,2024-11-29
br2502,丁二烯胶2502,2.64,13600.0,13605.0,13300.0,13310.0,350.0,-,2.08,-,36444,2461428150.0,13350.0,-,-,113.br2502,上期所,2024-11-29 23:00:00,2024-11-29
br2503,丁二烯胶2503,2.56,13625.0,13650.0,13325.0,13390.0,340.0,-,1.93,-,6258,423877225.0,13390.0,-,-,113.br2503,上期所,2024-11-29 23:00:00,2024-11-29
si2506,工业硅2506,2.51,12440.0,12530.0,12055.0,12055.0,305.0,-,-,-,81,5030850.0,12085.0,-,-,225.si2506,广期所,2024-11-29 15:00:28,2024-11-29
snm,沪锡主连,2.5,242750.0,243050.0,238610.0,239020.0,5910.0,-,1.1,-,53938,13004030180.0,239430.0,-,-,113.snm,上期所,2024-11-30 01:00:00,2024-11-29
sn2501,沪锡2501,2.5,242750.0,243050.0,238610.0,239020.0,5910.0,-,1.1,-,53938,13004030180.0,239430.0,-,-,113.sn2501,上期所,2024-11-30 01:00:00,2024-11-29
si2508,工业硅2508,2.45,12565.0,12565.0,12140.0,12180.0,300.0,-,-,-,19,1177625.0,12265.0,-,-,225.si2508,广期所,2024-11-29 15:00:28,2024-11-29
br2505,丁二烯胶2505,2.42,13735.0,13780.0,13475.0,13500.0,325.0,-,3.84,-,4606,314990650.0,13535.0,-,-,113.br2505,上期所,2024-11-29 23:00:00,2024-11-29
sn2412,沪锡2412,2.36,242130.0,242410.0,238550.0,238550.0,5590.0,-,0.05,-,604,145480100.0,239050.0,-,-,113.sn2412,上期所,2024-11-30 01:00:00,2024-11-29
bu2503,沥青2503,2.31,3589.0,3597.0,3536.0,3543.0,81.0,-,2.85,-,36226,1295832360.0,3532.0,-,-,113.bu2503,上期所,2024-11-29 23:00:00,2024-11-29
si2507,工业硅2507,2.3,12480.0,12570.0,12105.0,12110.0,280.0,-,-,-,52,3198775.0,12110.0,-,-,225.si2507,广期所,2024-11-29 15:00:28,2024-11-29
sn2505,沪锡2505,2.28,243180.0,243500.0,240940.0,241190.0,5430.0,-,-,-,72,17420200.0,240330.0,-,-,113.sn2505,上期所,2024-11-30 01:00:00,2024-11-29
br2504,丁二烯胶2504,2.28,13685.0,13685.0,13515.0,13520.0,305.0,-,-,-,42,2855400.0,13450.0,-,-,113.br2504,上期所,2024-11-29 23:00:00,2024-11-29
si2510,工业硅2510,2.28,12575.0,12685.0,12255.0,12255.0,280.0,-,-,-,45,2818450.0,12295.0,-,-,225.si2510,广期所,2024-11-29 15:00:28,2024-11-29
sn2503,沪锡2503,2.25,243040.0,243440.0,239130.0,239880.0,5340.0,-,0.97,-,931,224876700.0,239900.0,-,-,113.sn2503,上期所,2024-11-30 01:00:00,2024-11-29
si2504,工业硅2504,2.18,12420.0,12480.0,11990.0,12000.0,265.0,-,0.76,-,510,31379825.0,12030.0,-,-,225.si2504,广期所,2024-11-29 15:00:28,2024-11-29
lc2511,碳酸锂2511,2.16,82950.0,83400.0,81800.0,81800.0,1750.0,-,-,-,41,3394900.0,82250.0,-,-,225.lc2511,广期所,2024-11-29 15:00:28,2024-11-29
y2412,豆油2412,2.15,8266.0,8266.0,8212.0,8212.0,174.0,-,0.05,-,13,1071140.0,8212.0,-,-,114.y2412,大商所,2024-11-29 22:59:12,2024-11-29
si2509,工业硅2509,2.07,12565.0,12650.0,12140.0,12140.0,255.0,-,1.27,-,285,17854500.0,12240.0,-,-,225.si2509,广期所,2024-11-29 15:00:28,2024-11-29
br2506,丁二烯胶2506,2.04,13750.0,13765.0,13750.0,13755.0,275.0,-,-,-,3,206350.0,13415.0,-,-,113.br2506,上期所,2024-11-29 23:00:00,2024-11-29
lc2510,碳酸锂2510,1.97,82800.0,83350.0,81650.0,81650.0,1600.0,-,-,-,76,6267950.0,82100.0,-,-,225.lc2510,广期所,2024-11-29 15:00:28,2024-11-29
p2412,棕榈油2412,1.96,10322.0,10322.0,10322.0,10322.0,198.0,-,0.01,-,1,103220.0,10252.0,-,-,114.p2412,大商所,2024-11-29 22:59:12,2024-11-29
zn2412,沪锌2412,1.91,26120.0,26145.0,25805.0,25895.0,490.0,-,0.1,-,3610,468795375.0,25915.0,-,-,113.zn2412,上期所,2024-11-30 01:00:00,2024-11-29
151106,IM2506,1.88,5925.4,5996.6,5752.0,5799.6,109.2,-,1.17,-,21484,25338531440.0,5797.0,1185080,-,8.151106,中金所,2024-11-29 15:26:27,2024-11-29
150123,IM隔季连续,1.88,5925.4,5996.6,5752.0,5799.6,109.2,-,1.17,-,21484,25338531440.0,5797.0,1185080,-,8.150123,中金所,2024-11-29 15:26:27,2024-11-29
aos,氧化铝次主连,1.87,4954.0,4993.0,4871.0,4872.0,91.0,-,1.21,-,34379,3402553760.0,4874.0,-,-,113.aos,上期所,2024-11-30 01:00:00,2024-11-29
ao2502,氧化铝2502,1.87,4954.0,4993.0,4871.0,4872.0,91.0,-,1.15,-,34379,3402553760.0,4874.0,-,-,113.ao2502,上期所,2024-11-30 01:00:00,2024-11-29
jdm,鸡蛋主连,1.85,3630.0,3632.0,3565.0,3565.0,66.0,-,1.28,-,127615,4597170180.0,3558.0,-,-,114.jdm,大商所,2024-11-29 21:00:00,2024-11-29
jd2501,鸡蛋2501,1.85,3630.0,3632.0,3565.0,3565.0,66.0,-,1.28,-,127615,4597170180.0,3558.0,-,-,114.jd2501,大商所,2024-11-29 21:00:00,2024-11-29
jds,鸡蛋次主连,1.85,3363.0,3369.0,3300.0,3315.0,61.0,-,1.53,-,38199,1275119370.0,3297.0,-,-,114.jds,大商所,2024-11-29 21:00:00,2024-11-29
jd2502,鸡蛋2502,1.85,3363.0,3369.0,3300.0,3315.0,61.0,-,1.53,-,38199,1275119370.0,3297.0,-,-,114.jd2502,大商所,2024-11-29 21:00:00,2024-11-29
151103,IM2503,1.83,6049.0,6117.8,5875.0,5941.2,108.8,-,1.25,-,70296,84602234120.0,5926.0,1209800,-,8.151103,中金所,2024-11-29 15:26:27,2024-11-29
150131,IM次主力合约,1.83,6049.0,6117.8,5875.0,5941.2,108.8,-,1.25,-,70296,84602234120.0,5926.0,1209800,-,8.150131,中金所,2024-11-29 15:26:27,2024-11-29
150122,IM下季连续,1.83,6049.0,6117.8,5875.0,5941.2,108.8,-,1.25,-,70296,84602234120.0,5926.0,1209800,-,8.150122,中金所,2024-11-29 15:26:27,2024-11-29
ao2503,氧化铝2503,1.82,4635.0,4674.0,4556.0,4564.0,83.0,-,0.99,-,19717,1824695700.0,4560.0,-,-,113.ao2503,上期所,2024-11-30 01:00:00,2024-11-29
bu2504,沥青2504,1.82,3580.0,3584.0,3540.0,3541.0,64.0,-,6.88,-,2477,88444000.0,3540.0,-,-,113.bu2504,上期所,2024-11-29 23:00:00,2024-11-29
br2507,丁二烯胶2507,1.81,14100.0,14100.0,13995.0,13995.0,250.0,-,-,-,3,210975.0,13775.0,-,-,113.br2507,上期所,2024-11-29 23:00:00,2024-11-29
aom,氧化铝主连,1.79,5291.0,5328.0,5210.0,5224.0,93.0,-,1.07,-,76473,8087245940.0,5223.0,-,-,113.aom,上期所,2024-11-30 01:00:00,2024-11-29
ao2501,氧化铝2501,1.79,5291.0,5328.0,5210.0,5224.0,93.0,-,1.07,-,76473,8087245940.0,5223.0,-,-,113.ao2501,上期所,2024-11-30 01:00:00,2024-11-29
br2509,丁二烯胶2509,1.76,14180.0,14200.0,13930.0,13930.0,245.0,-,-,-,7,494875.0,13930.0,-,-,113.br2509,上期所,2024-11-29 23:00:00,2024-11-29
151101,IM2501,1.75,6122.4,6197.0,5954.0,5987.8,105.4,-,1.47,-,14661,17866259840.0,6004.0,1224480,-,8.151101,中金所,2024-11-29 15:26:27,2024-11-29
150121,IM下月连续,1.75,6122.4,6197.0,5954.0,5987.8,105.4,-,1.47,-,14661,17866259840.0,6004.0,1224480,-,8.150121,中金所,2024-11-29 15:26:27,2024-11-29
061106,IC2506,1.75,5659.4,5723.4,5531.4,5558.4,97.4,-,1.28,-,11222,12650331360.0,5555.0,1131880,-,8.061106,中金所,2024-11-29 15:26:27,2024-11-29
060123,IC隔季连续,1.75,5659.4,5723.4,5531.4,5558.4,97.4,-,1.28,-,11222,12650331360.0,5555.0,1131880,-,8.060123,中金所,2024-11-29 15:26:27,2024-11-29
151112,IM2412,1.72,6156.0,6225.8,5988.2,6030.0,104.0,-,1.15,-,235635,288678143880.0,6036.8,1231200,-,8.151112,中金所,2024-11-29 15:26:27,2024-11-29
150130,IM主力合约,1.72,6156.0,6225.8,5988.2,6030.0,104.0,-,1.15,-,235635,288678143880.0,6036.8,1231200,-,8.150130,中金所,2024-11-29 15:26:27,2024-11-29
150120,IM当月连续,1.72,6156.0,6225.8,5988.2,6030.0,104.0,-,1.15,-,235635,288678143880.0,6036.8,1231200,-,8.150120,中金所,2024-11-29 15:26:27,2024-11-29
jd2503,鸡蛋2503,1.67,3339.0,3345.0,3285.0,3295.0,55.0,-,1.61,-,19140,634892970.0,3283.0,-,-,114.jd2503,大商所,2024-11-29 21:00:00,2024-11-29
bu2609,沥青2609,1.66,3429.0,3429.0,3429.0,3429.0,56.0,-,-,-,1,34290.0,3376.0,-,-,113.bu2609,上期所,2024-11-29 23:00:00,2024-11-29
CJS,红枣次主连,1.65,9535.0,9580.0,9380.0,9380.0,155.0,-,1.58,-,51266,2438979950.0,9380.0,-,-,115.CJS,郑商所,2024-11-29 21:00:00,2024-11-29
CJ505,红枣505,1.65,9535.0,9580.0,9380.0,9380.0,155.0,-,1.58,-,51266,2438979950.0,9380.0,-,-,115.CJ505,郑商所,2024-11-29 21:00:00,2024-11-29
sn2510,沪锡2510,1.64,242330.0,242570.0,242330.0,242570.0,3920.0,-,-,-,2,484900.0,238410.0,-,-,113.sn2510,上期所,2024-11-30 01:00:00,2024-11-29
061103,IC2503,1.63,5750.0,5820.0,5628.4,5653.2,92.4,-,1.22,-,31061,35588635640.0,5652.2,1150000,-,8.061103,中金所,2024-11-29 15:26:27,2024-11-29
060131,IC次主力合约,1.63,5750.0,5820.0,5628.4,5653.2,92.4,-,1.22,-,31061,35588635640.0,5652.2,1150000,-,8.060131,中金所,2024-11-29 15:26:27,2024-11-29
060122,IC下季连续,1.63,5750.0,5820.0,5628.4,5653.2,92.4,-,1.22,-,31061,35588635640.0,5652.2,1150000,-,8.060122,中金所,2024-11-29 15:26:27,2024-11-29
061101,IC2501,1.6,5797.8,5864.0,5678.0,5699.0,91.4,-,1.48,-,8056,9311086720.0,5699.2,1159560,-,8.061101,中金所,2024-11-29 15:26:27,2024-11-29
060121,IC下月连续,1.6,5797.8,5864.0,5678.0,5699.0,91.4,-,1.48,-,8056,9311086720.0,5699.2,1159560,-,8.060121,中金所,2024-11-29 15:26:27,2024-11-29
061112,IC2412,1.59,5822.4,5892.6,5702.0,5729.8,91.4,-,1.15,-,97959,113772148480.0,5723.6,1164480,-,8.061112,中金所,2024-11-29 15:26:27,2024-11-29
060130,IC主力合约,1.59,5822.4,5892.6,5702.0,5729.8,91.4,-,1.15,-,97959,113772148480.0,5723.6,1164480,-,8.060130,中金所,2024-11-29 15:26:27,2024-11-29
060120,IC当月连续,1.59,5822.4,5892.6,5702.0,5729.8,91.4,-,1.15,-,97959,113772148480.0,5723.6,1164480,-,8.060120,中金所,2024-11-29 15:26:27,2024-11-29
ao2504,氧化铝2504,1.58,4380.0,4407.0,4308.0,4310.0,68.0,-,0.67,-,807,70575180.0,4311.0,-,-,113.ao2504,上期所,2024-11-30 01:00:00,2024-11-29
si2511,工业硅2511,1.57,12620.0,12695.0,12310.0,12315.0,195.0,-,-,-,53,3333475.0,12310.0,-,-,225.si2511,广期所,2024-11-29 15:00:28,2024-11-29
bu2603,沥青2603,1.56,3444.0,3456.0,3444.0,3445.0,53.0,-,-,-,9,310470.0,3391.0,-,-,113.bu2603,上期所,2024-11-29 23:00:00,2024-11-29
lcs,碳酸锂次主连,1.55,81800.0,82450.0,80300.0,80850.0,1250.0,-,1.37,-,44240,3611343050.0,80800.0,-,-,225.lcs,广期所,2024-11-29 15:00:28,2024-11-29
lc2505,碳酸锂2505,1.55,81800.0,82450.0,80300.0,80850.0,1250.0,-,1.37,-,44240,3611343050.0,80800.0,-,-,225.lc2505,广期所,2024-11-29 15:00:28,2024-11-29
lc2509,碳酸锂2509,1.54,82650.0,83350.0,81500.0,81500.0,1250.0,-,1.04,-,233,19250050.0,81700.0,-,-,225.lc2509,广期所,2024-11-29 15:00:28,2024-11-29
p2502,棕榈油2502,1.51,10084.0,10156.0,10038.0,10064.0,150.0,-,1.76,-,8434,851826280.0,10050.0,-,-,114.p2502,大商所,2024-11-29 23:00:00,2024-11-29
bu2505,沥青2505,1.48,3571.0,3580.0,3537.0,3537.0,52.0,-,11.15,-,2677,95507010.0,3537.0,-,-,113.bu2505,上期所,2024-11-29 23:00:00,2024-11-29
lc2506,碳酸锂2506,1.43,81450.0,82300.0,80300.0,80700.0,1150.0,-,-,-,156,12717000.0,80650.0,-,-,225.lc2506,广期所,2024-11-29 15:00:28,2024-11-29
pm,棕榈油主连,1.43,10222.0,10300.0,10176.0,10222.0,144.0,-,1.37,-,517044,52948267060.0,10194.0,-,-,114.pm,大商所,2024-11-29 23:00:00,2024-11-29
p2501,棕榈油2501,1.43,10222.0,10300.0,10176.0,10222.0,144.0,-,1.37,-,517044,52948267060.0,10194.0,-,-,114.p2501,大商所,2024-11-29 23:00:00,2024-11-29
lc2504,碳酸锂2504,1.37,81300.0,82050.0,80050.0,80450.0,1100.0,-,1.69,-,6077,494066050.0,80450.0,-,-,225.lc2504,广期所,2024-11-29 15:00:28,2024-11-29
zn2511,沪锌2511,1.37,24780.0,24780.0,24630.0,24745.0,335.0,-,-,-,9,1112850.0,24490.0,-,-,113.zn2511,上期所,2024-11-30 01:00:00,2024-11-29
sn2509,沪锡2509,1.37,243860.0,243860.0,243660.0,243660.0,3290.0,-,-,-,3,731380.0,241030.0,-,-,113.sn2509,上期所,2024-11-30 01:00:00,2024-11-29
lc2507,碳酸锂2507,1.37,81650.0,82450.0,80550.0,81000.0,1100.0,-,0.62,-,1256,102589200.0,80950.0,-,-,225.lc2507,广期所,2024-11-29 15:00:28,2024-11-29
znm,沪锌主连,1.33,25550.0,25580.0,25280.0,25385.0,335.0,-,1.06,-,176774,22490401600.0,25200.0,-,-,113.znm,上期所,2024-11-30 01:00:00,2024-11-29
zn2501,沪锌2501,1.33,25550.0,25580.0,25280.0,25385.0,335.0,-,1.05,-,176774,22490401600.0,25200.0,-,-,113.zn2501,上期所,2024-11-30 01:00:00,2024-11-29
CJ507,红枣507,1.32,9585.0,9635.0,9460.0,9465.0,125.0,-,2.22,-,499,23914575.0,9450.0,-,-,115.CJ507,郑商所,2024-11-29 21:00:00,2024-11-29
lc2508,碳酸锂2508,1.29,82550.0,83400.0,81550.0,81550.0,1050.0,-,1.19,-,535,44200250.0,82050.0,-,-,225.lc2508,广期所,2024-11-29 15:00:28,2024-11-29
lc2503,碳酸锂2503,1.28,79200.0,80100.0,78300.0,78700.0,1000.0,-,1.03,-,9753,773174850.0,78700.0,-,-,225.lc2503,广期所,2024-11-29 15:00:28,2024-11-29
zns,沪锌次主连,1.28,25345.0,25390.0,25095.0,25190.0,320.0,-,0.88,-,44845,5660800750.0,25015.0,-,-,113.zns,上期所,2024-11-30 01:00:00,2024-11-29
zn2502,沪锌2502,1.28,25345.0,25390.0,25095.0,25190.0,320.0,-,1.11,-,44845,5660800750.0,25015.0,-,-,113.zn2502,上期所,2024-11-30 01:00:00,2024-11-29
ao2505,氧化铝2505,1.28,4206.0,4231.0,4142.0,4150.0,53.0,-,0.77,-,22953,1929693760.0,4149.0,-,-,113.ao2505,上期所,2024-11-30 01:00:00,2024-11-29
bu2512,沥青2512,1.27,3440.0,3450.0,3431.0,3439.0,43.0,-,-,-,20,688080.0,3419.0,-,-,113.bu2512,上期所,2024-11-29 23:00:00,2024-11-29
sn2506,沪锡2506,1.24,241680.0,241680.0,241680.0,241680.0,2960.0,-,-,-,1,241680.0,240190.0,-,-,113.sn2506,上期所,2024-11-30 01:00:00,2024-11-29
zn2503,沪锌2503,1.22,25250.0,25295.0,25000.0,25040.0,305.0,-,0.84,-,9685,1218115450.0,24930.0,-,-,113.zn2503,上期所,2024-11-30 01:00:00,2024-11-29
p2504,棕榈油2504,1.22,9612.0,9694.0,9564.0,9618.0,116.0,-,2.98,-,358,34493120.0,9602.0,-,-,114.p2504,大商所,2024-11-29 22:59:58,2024-11-29
sp2511,纸浆2511,1.22,5974.0,5974.0,5972.0,5972.0,72.0,-,-,-,2,119460.0,5886.0,-,-,113.sp2511,上期所,2024-11-29 23:00:00,2024-11-29
lc2502,碳酸锂2502,1.22,78900.0,79800.0,78050.0,79100.0,950.0,-,1.01,-,4082,322092250.0,78400.0,-,-,225.lc2502,广期所,2024-11-29 15:00:28,2024-11-29
bu2510,沥青2510,1.21,3512.0,3512.0,3512.0,3512.0,42.0,-,-,-,2,70240.0,3470.0,-,-,113.bu2510,上期所,2024-11-29 23:00:00,2024-11-29
zn2504,沪锌2504,1.21,25195.0,25235.0,24935.0,25055.0,300.0,-,0.82,-,2746,344575500.0,24880.0,-,-,113.zn2504,上期所,2024-11-30 01:00:00,2024-11-29
bu2507,沥青2507,1.2,3545.0,3554.0,3539.0,3554.0,42.0,-,-,-,4,141920.0,3511.0,-,-,113.bu2507,上期所,2024-11-29 23:00:00,2024-11-29
zn2507,沪锌2507,1.2,24955.0,24955.0,24750.0,24925.0,295.0,-,-,-,9,1117775.0,24730.0,-,-,113.zn2507,上期所,2024-11-30 01:00:00,2024-11-29
jd2504,鸡蛋2504,1.19,3396.0,3404.0,3357.0,3365.0,40.0,-,1.39,-,5630,190524940.0,3365.0,-,-,114.jd2504,大商所,2024-11-29 21:00:00,2024-11-29
ao2508,氧化铝2508,1.18,3937.0,3944.0,3917.0,3942.0,46.0,-,-,-,12,943820.0,3890.0,-,-,113.ao2508,上期所,2024-11-30 01:00:00,2024-11-29
bu2606,沥青2606,1.18,3433.0,3449.0,3425.0,3443.0,40.0,-,-,-,8,275080.0,3393.0,-,-,113.bu2606,上期所,2024-11-29 23:00:00,2024-11-29
zn2506,沪锌2506,1.17,25030.0,25080.0,24805.0,24930.0,290.0,-,-,-,75,9336250.0,24770.0,-,-,113.zn2506,上期所,2024-11-30 01:00:00,2024-11-29
zn2505,沪锌2505,1.15,25110.0,25160.0,24870.0,24985.0,285.0,-,1.56,-,1502,188103575.0,24820.0,-,-,113.zn2505,上期所,2024-11-30 01:00:00,2024-11-29
CJ509,红枣509,1.15,9695.0,9740.0,9580.0,9595.0,110.0,-,1.47,-,2313,112007025.0,9585.0,-,-,115.CJ509,郑商所,2024-11-29 21:00:00,2024-11-29
p2503,棕榈油2503,1.13,9846.0,9944.0,9808.0,9826.0,110.0,-,3.86,-,3707,366466240.0,9826.0,-,-,114.p2503,大商所,2024-11-29 23:00:00,2024-11-29
jd2505,鸡蛋2505,1.12,3420.0,3428.0,3380.0,3380.0,38.0,-,1.43,-,19312,657403370.0,3382.0,-,-,114.jd2505,大商所,2024-11-29 21:00:00,2024-11-29
PF507,短纤507,1.11,6930.0,6932.0,6930.0,6930.0,76.0,-,-,-,3,103980.0,6854.0,-,-,115.PF507,郑商所,2024-11-29 22:59:56,2024-11-29
zn2510,沪锌2510,1.1,24765.0,24765.0,24645.0,24645.0,270.0,-,-,-,6,741525.0,24540.0,-,-,113.zn2510,上期所,2024-11-30 01:00:00,2024-11-29
CJ503,红枣503,1.07,9415.0,9460.0,9310.0,9335.0,100.0,-,1.87,-,2100,98857500.0,9310.0,-,-,115.CJ503,郑商所,2024-11-29 21:00:00,2024-11-29
agm,沪银主连,1.06,7692.0,7748.0,7663.0,7718.0,81.0,-,0.75,-,582832,67334202900.0,7697.0,-,-,113.agm,上期所,2024-11-30 02:30:00,2024-11-29
ag2502,沪银2502,1.06,7692.0,7748.0,7663.0,7718.0,81.0,-,0.75,-,582832,67334202900.0,7697.0,-,-,113.ag2502,上期所,2024-11-30 02:30:00,2024-11-29
lu2501,低硫燃油2501,1.06,4013.0,4029.0,3979.0,3979.0,42.0,-,0.94,-,2024,81047680.0,3973.0,-,-,142.lu2501,上海能源期货交易所,2024-11-29 23:00:00,2024-11-29
ags,沪银次主连,1.03,7718.0,7772.0,7688.0,7742.0,79.0,-,0.99,-,66402,7695139485.0,7724.0,-,-,113.ags,上期所,2024-11-30 02:30:00,2024-11-29
ag2504,沪银2504,1.03,7718.0,7772.0,7688.0,7742.0,79.0,-,1.22,-,66402,7695139485.0,7724.0,-,-,113.ag2504,上期所,2024-11-30 02:30:00,2024-11-29
fus,燃油次主连,1.02,3181.0,3185.0,3150.0,3150.0,32.0,-,1.78,-,145562,4604675020.0,3147.0,-,-,113.fus,上期所,2024-11-29 23:00:00,2024-11-29
fu2503,燃油2503,1.02,3181.0,3185.0,3150.0,3150.0,32.0,-,1.78,-,145562,4604675020.0,3147.0,-,-,113.fu2503,上期所,2024-11-29 23:00:00,2024-11-29
ao2509,氧化铝2509,1.02,3877.0,3887.0,3824.0,3850.0,39.0,-,0.56,-,538,41684560.0,3837.0,-,-,113.ao2509,上期所,2024-11-30 01:00:00,2024-11-29
fu2502,燃油2502,1.01,3205.0,3212.0,3171.0,3171.0,32.0,-,1.69,-,6496,207169820.0,3173.0,-,-,113.fu2502,上期所,2024-11-29 23:00:00,2024-11-29
fum,燃油主连,1.01,3209.0,3215.0,3178.0,3178.0,32.0,-,1.16,-,150905,4819138040.0,3180.0,-,-,113.fum,上期所,2024-11-29 23:00:00,2024-11-29
fu2501,燃油2501,1.01,3209.0,3215.0,3178.0,3178.0,32.0,-,1.16,-,150905,4819138040.0,3180.0,-,-,113.fu2501,上期所,2024-11-29 23:00:00,2024-11-29
ag2503,沪银2503,0.98,7705.0,7759.0,7677.0,7730.0,75.0,-,1.06,-,10152,1174720680.0,7712.0,-,-,113.ag2503,上期所,2024-11-30 02:30:00,2024-11-29
041106,IF2506,0.97,3894.4,3954.6,3855.0,3855.0,37.4,-,1.43,-,12270,14376007560.0,3853.6,1168320,-,8.041106,中金所,2024-11-29 15:26:27,2024-11-29
040123,IF隔季连续,0.97,3894.4,3954.6,3855.0,3855.0,37.4,-,1.43,-,12270,14376007560.0,3853.6,1168320,-,8.040123,中金所,2024-11-29 15:26:27,2024-11-29
bu2506,沥青2506,0.97,3551.0,3570.0,3517.0,3532.0,34.0,-,9.52,-,10285,365509620.0,3528.0,-,-,113.bu2506,上期所,2024-11-29 23:00:00,2024-11-29
ao2507,氧化铝2507,0.96,3988.0,4013.0,3986.0,4000.0,38.0,-,-,-,27,2161640.0,3957.0,-,-,113.ao2507,上期所,2024-11-30 01:00:00,2024-11-29
fu2504,燃油2504,0.96,3150.0,3150.0,3124.0,3126.0,30.0,-,2.88,-,692,21702710.0,3118.0,-,-,113.fu2504,上期所,2024-11-29 23:00:00,2024-11-29
041112,IF2412,0.96,3911.0,3965.6,3874.0,3876.8,37.2,-,1.14,-,118696,139431119760.0,3872.4,1173300,-,8.041112,中金所,2024-11-29 15:26:27,2024-11-29
040130,IF主力合约,0.96,3911.0,3965.6,3874.0,3876.8,37.2,-,1.14,-,118696,139431119760.0,3872.4,1173300,-,8.040130,中金所,2024-11-29 15:26:27,2024-11-29
040120,IF当月连续,0.96,3911.0,3965.6,3874.0,3876.8,37.2,-,1.14,-,118696,139431119760.0,3872.4,1173300,-,8.040120,中金所,2024-11-29 15:26:27,2024-11-29
